estrategia,sharpe,sortino,max_drawdown,calmar,information_ratio,alpha_tstat,turnover
META_PORTFOLIO,0.2306,0.2451,-0.1245,0.2819,-0.3785,0.3834,
hmm_garch,-3.3946,-13.4814,0.0,,-0.4501,0.9838,
llm_sentiment,-1.5208,-1.6722,-0.6695,-0.4445,-1.8085,-3.0832,
mamba_ssm,-0.3009,-0.4222,-0.1236,-0.0136,-0.423,0.1733,
momentum_126d,0.3788,0.342,-0.3392,0.251,0.0,0.1649,
neural_ff,0.4136,0.496,-0.3273,0.2248,-0.0827,1.4567,
olps_rmr,0.3656,0.4182,-0.4019,0.1969,-0.0241,2.1149,
ppo_rl,0.3633,0.3688,-0.3392,0.2329,-0.0641,0.2187,
stgnn_alpha,-0.1954,-0.3163,-0.0758,0.0832,-0.3924,0.4281,
tft_trend,0.5239,0.8071,-0.0758,0.8917,-0.1396,1.6608,
wavelet_lstm,-3.3946,-13.4814,0.0,,-0.4501,0.9838,
xgboost_trend,-1.2001,-1.481,-0.2429,-0.3708,-0.7,-1.4447,
