stability_rank,algorithm,skill_volatility,drift_per_period,sigma_reduction_speed,signal_noise_ratio,max_skill_drawdown,correlation_length,pct_time_positive_mu,n_periods
1,TrendFollow_EMA12_26,0.104546,0.020653,1.3e-05,1.0349,-0.048047,3,0.0,12
2,MomXover_20_50,0.104555,0.020656,1.3e-05,1.0343,-0.047973,3,0.0,12
3,VolBreakout_20d,0.104558,0.020657,1.3e-05,1.0341,-0.047947,3,0.0,12
4,DonchianBreakout_20d,0.104751,-0.016321,-0.000631,1.0595,-0.350866,1,0.0,12
5,MeanRevBB_20d_2.0std,0.105764,-0.011046,-0.000399,0.5302,-0.332149,2,0.1667,12
6,BuyAndHold,0.116769,0.019469,-0.001058,3.1094,-0.28629,2,1.0,12
7,XGBoostTrend_d5,0.137322,0.000943,0.000863,1.9211,-0.426858,2,0.0,12
8,LowVol_21d_tv10,0.137956,-0.000234,-0.000701,1.2684,-0.409567,2,1.0,12
9,FadeExtremes_63d,0.150283,0.027783,0.000203,1.3734,-0.039827,3,0.0,12
10,RSI_14_30_70,0.32001,-0.088179,-0.000142,1.2034,-0.969971,2,0.75,12
