BuyAndHold,DonchianBreakout_20d,FadeExtremes_63d,LowVol_21d_tv10,MeanRevBB_20d_2.0std,MomXover_20_50,RSI_14_30_70,TrendFollow_EMA12_26,VolBreakout_20d,XGBoostTrend_d5
0.5,0.9969,0.9964,0.9005,0.9956,0.9958,0.9989,0.9958,0.9958,0.9992
0.0031,0.5,0.4441,0.0715,0.424,0.4237,0.631,0.4239,0.4236,0.639
0.0036,0.5559,0.5,0.0844,0.4784,0.4785,0.6867,0.4787,0.4784,0.6964
0.0995,0.9285,0.9156,0.5,0.9059,0.9073,0.9637,0.9074,0.9073,0.9686
0.0044,0.576,0.5216,0.0941,0.5,0.5002,0.7039,0.5004,0.5001,0.7138
0.0042,0.5763,0.5215,0.0927,0.4998,0.5,0.7049,0.5002,0.4999,0.7149
0.0011,0.369,0.3133,0.0363,0.2961,0.2951,0.5,0.2953,0.2951,0.5044
0.0042,0.5761,0.5213,0.0926,0.4996,0.4998,0.7047,0.5,0.4997,0.7147
0.0042,0.5764,0.5216,0.0927,0.4999,0.5001,0.7049,0.5003,0.5,0.7149
0.0008,0.361,0.3036,0.0314,0.2862,0.2851,0.4956,0.2853,0.2851,0.5
