winner,loser,p_dominance
BuyAndHold,XGBoostTrend_d5,0.9992
BuyAndHold,RSI_14_30_70,0.9989
BuyAndHold,DonchianBreakout_20d,0.9969
BuyAndHold,FadeExtremes_63d,0.9964
BuyAndHold,MomXover_20_50,0.9958
BuyAndHold,TrendFollow_EMA12_26,0.9958
BuyAndHold,VolBreakout_20d,0.9958
BuyAndHold,MeanRevBB_20d_2.0std,0.9956
LowVol_21d_tv10,XGBoostTrend_d5,0.9686
LowVol_21d_tv10,RSI_14_30_70,0.9637
LowVol_21d_tv10,DonchianBreakout_20d,0.9285
LowVol_21d_tv10,FadeExtremes_63d,0.9156
LowVol_21d_tv10,TrendFollow_EMA12_26,0.9074
LowVol_21d_tv10,VolBreakout_20d,0.9073
LowVol_21d_tv10,MomXover_20_50,0.9073
LowVol_21d_tv10,MeanRevBB_20d_2.0std,0.9059
BuyAndHold,LowVol_21d_tv10,0.9005
