algorithm,sigma_initial,sigma_final,reduction_abs,reduction_pct,half_time_folds,mu_initial,mu_final,belief_update,learning_rank
XGBoostTrend_d5,0.26219,0.27757,-0.01538,-5.86,12,-0.32543,-0.39047,0.06505,1
FadeExtremes_63d,0.2516,0.2743,-0.02269,-9.02,12,-0.49894,-0.18991,0.30903,2
VolBreakout_20d,0.25004,0.27421,-0.02417,-9.67,12,-0.38164,-0.16893,0.21271,3
MomXover_20_50,0.25004,0.27421,-0.02417,-9.67,12,-0.38169,-0.169,0.21269,4
TrendFollow_EMA12_26,0.25004,0.27421,-0.02417,-9.67,12,-0.38183,-0.16921,0.21262,5
RSI_14_30_70,0.26856,0.29539,-0.02683,-9.99,12,0.565,-0.38603,0.95103,6
MeanRevBB_20d_2.0std,0.25226,0.2779,-0.02564,-10.16,12,-0.01153,-0.16879,0.15727,7
DonchianBreakout_20d,0.26391,0.2947,-0.03079,-11.67,12,-0.17664,-0.24647,0.06983,8
LowVol_21d_tv10,0.26512,0.2984,-0.03328,-12.55,12,0.35292,0.36773,0.01481,9
BuyAndHold,0.26934,0.30764,-0.0383,-14.22,12,0.68621,0.9181,0.23189,10
