rank,algorithm,mu_final,sigma_final,conservative_skill,mu_max,mu_min,skill_volatility,sigma_reduction_pct,n_observations
1,BuyAndHold,0.9180980027043883,0.30764316826477667,-0.004831502089941653,0.9637628016396204,0.6224552861371208,0.11676936292986628,-5.505979697510734,12
2,LowVol_21d_tv10,0.3677344050772507,0.2984018235466392,-0.5274710655626669,0.48491106195696326,0.07534372474655307,0.13795569071788263,-3.840550631838063,12
3,VolBreakout_20d,-0.16892764301267452,0.27421060980922163,-0.9915594724403394,-0.12098091675701392,-0.39615164370649136,0.10455787716464017,-0.7806842143927248,12
4,MomXover_20_50,-0.16900248604174398,0.2742105380855908,-0.9916341002985164,-0.12102933009366346,-0.39621370904877096,0.10455460364507835,-0.7806918683892455,12
5,TrendFollow_EMA12_26,-0.1692101730235244,0.2742100491068647,-0.9918403203441185,-0.12116289879952709,-0.396387729189294,0.10454602137835795,-0.7805442593716915,12
6,MeanRevBB_20d_2.0std,-0.16879452852519258,0.27789806887728513,-1.002488735157048,0.037062228392145895,-0.29508648517297137,0.10576367754595167,-1.525037549952973,12
7,FadeExtremes_63d,-0.18991037209533543,0.2742954450686153,-1.0127967073011814,-0.1500835264124887,-0.5045781963787178,0.15028300589410035,-0.35310237200775346,12
8,DonchianBreakout_20d,-0.2464674285494713,0.2946992201854951,-1.1305650891059567,-0.06693974543704713,-0.41780591362229896,0.10475124365107981,-3.0098592255690733,12
9,XGBoostTrend_d5,-0.39047101348644,0.2775698146484272,-1.2231804574317215,-0.2750878273016226,-0.7019454763540277,0.13732245730239792,2.538985984863439,12
10,RSI_14_30_70,-0.3860305687133844,0.2953920456146429,-1.2722067055573132,0.583940812910437,-0.3860305687133844,0.3200099861665094,-1.424634854748864,12
